2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/index-BzwGZG0b.js HTTP/1.1" 200
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /assets/vendor-DfNvL7Zg.js HTTP/1.1" 200
2026-07-19 10:36:10 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/vendor-router-DUil8rt8.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/auth/status HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /vite.svg HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/HomePage-BQJje-2-.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | __main__ | main.py:693 | 今日所有相关市场均为非交易日，跳过执行。可使用 --force-run 强制执行。
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/Button-BZnl_ntM.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | __main__ | main.py:1518 | 
程序执行完成
2026-07-19 10:36:12 | INFO     | __main__ | main.py:1523 | API 服务运行中 (按 Ctrl+C 退出)...
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/reportLanguage-CjCKbJql.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /assets/DashboardStateBlock-BBIJxDzD.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/InlineAlert-DGhmC1mU.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/StockAutocomplete-Dzo0nVIb.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/decisionAction-ZTeZCsX1.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/Badge-DC-qRC2F.js HTTP/1.1" 200
